Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Full Reset v2.0,Chrome 120.0.0.0,,,03-01-2024 00:53:12,03-01-2024 00:59:10,5m - 57.263s,FAILED
,,,,,,,
Test Cases/TC Full Reset v2.0,Chrome 120.0.0.0,,,03-01-2024 00:53:13,03-01-2024 00:53:30,17.252s,FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,03-01-2024 00:53:14,03-01-2024 00:53:16,2.334s,PASSED
"navigateToUrl(""https://www.netflix.com/id/login"")",Chrome 120.0.0.0,,,03-01-2024 00:53:16,03-01-2024 00:53:20,3.840s,PASSED
"click(findTestObject(""Object Repository/Login/1 email""))",Chrome 120.0.0.0,,,03-01-2024 00:53:20,03-01-2024 00:53:21,0.747s,PASSED
"setText(findTestObject(""Object Repository/Login/2 user id""), email)",Chrome 120.0.0.0,,,03-01-2024 00:53:21,03-01-2024 00:53:22,0.992s,PASSED
"setText(findTestObject(""Object Repository/Login/3 password""), password)",Chrome 120.0.0.0,,,03-01-2024 00:53:22,03-01-2024 00:53:23,0.994s,PASSED
"click(findTestObject(""Object Repository/Login/4 sign in""))",Chrome 120.0.0.0,,,03-01-2024 00:53:23,03-01-2024 00:53:23,0.470s,PASSED
delay(2),Chrome 120.0.0.0,,,03-01-2024 00:53:23,03-01-2024 00:53:25,2.069s,PASSED
"navigateToUrl(""https://www.netflix.com/profiles/manage"")",Chrome 120.0.0.0,,,03-01-2024 00:53:25,03-01-2024 00:53:27,1.863s,PASSED
"click(findTestObject(""Profile/profile yang ingin dihapus 2""), STOP_ON_FAILURE)",Chrome 120.0.0.0,,,03-01-2024 00:53:27,03-01-2024 00:53:30,3.032s,FAILED
,,,,,,,
Test Cases/TC Full Reset v2.0,Chrome 120.0.0.0,,,03-01-2024 00:53:30,03-01-2024 00:53:46,15.508s,FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,03-01-2024 00:53:31,03-01-2024 00:53:32,1.452s,PASSED
"navigateToUrl(""https://www.netflix.com/id/login"")",Chrome 120.0.0.0,,,03-01-2024 00:53:32,03-01-2024 00:53:36,3.960s,PASSED
"click(findTestObject(""Object Repository/Login/1 email""))",Chrome 120.0.0.0,,,03-01-2024 00:53:36,03-01-2024 00:53:37,0.484s,PASSED
"setText(findTestObject(""Object Repository/Login/2 user id""), email)",Chrome 120.0.0.0,,,03-01-2024 00:53:37,03-01-2024 00:53:38,0.910s,PASSED
"setText(findTestObject(""Object Repository/Login/3 password""), password)",Chrome 120.0.0.0,,,03-01-2024 00:53:38,03-01-2024 00:53:39,1.060s,PASSED
"click(findTestObject(""Object Repository/Login/4 sign in""))",Chrome 120.0.0.0,,,03-01-2024 00:53:39,03-01-2024 00:53:39,0.506s,PASSED
delay(2),Chrome 120.0.0.0,,,03-01-2024 00:53:39,03-01-2024 00:53:41,2.017s,PASSED
"navigateToUrl(""https://www.netflix.com/profiles/manage"")",Chrome 120.0.0.0,,,03-01-2024 00:53:41,03-01-2024 00:53:43,1.783s,PASSED
"click(findTestObject(""Profile/profile yang ingin dihapus 2""), STOP_ON_FAILURE)",Chrome 120.0.0.0,,,03-01-2024 00:53:43,03-01-2024 00:53:46,3.018s,FAILED
,,,,,,,
Test Cases/TC Full Reset v2.0,Chrome 120.0.0.0,,,03-01-2024 00:53:46,03-01-2024 00:54:01,15.304s,FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,03-01-2024 00:53:46,03-01-2024 00:53:48,1.480s,PASSED
"navigateToUrl(""https://www.netflix.com/id/login"")",Chrome 120.0.0.0,,,03-01-2024 00:53:48,03-01-2024 00:53:51,3.674s,PASSED
"click(findTestObject(""Object Repository/Login/1 email""))",Chrome 120.0.0.0,,,03-01-2024 00:53:51,03-01-2024 00:53:52,0.457s,PASSED
"setText(findTestObject(""Object Repository/Login/2 user id""), email)",Chrome 120.0.0.0,,,03-01-2024 00:53:52,03-01-2024 00:53:53,0.890s,PASSED
"setText(findTestObject(""Object Repository/Login/3 password""), password)",Chrome 120.0.0.0,,,03-01-2024 00:53:53,03-01-2024 00:53:54,0.959s,PASSED
"click(findTestObject(""Object Repository/Login/4 sign in""))",Chrome 120.0.0.0,,,03-01-2024 00:53:54,03-01-2024 00:53:54,0.425s,PASSED
delay(2),Chrome 120.0.0.0,,,03-01-2024 00:53:54,03-01-2024 00:53:56,2.032s,PASSED
"navigateToUrl(""https://www.netflix.com/profiles/manage"")",Chrome 120.0.0.0,,,03-01-2024 00:53:56,03-01-2024 00:53:59,2.494s,PASSED
"click(findTestObject(""Profile/profile yang ingin dihapus 2""), STOP_ON_FAILURE)",Chrome 120.0.0.0,,,03-01-2024 00:53:59,03-01-2024 00:54:01,2.827s,FAILED
,,,,,,,
Test Cases/TC Full Reset v2.0,Chrome 120.0.0.0,,,03-01-2024 00:54:01,03-01-2024 00:54:16,14.988s,FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,03-01-2024 00:54:02,03-01-2024 00:54:03,1.368s,PASSED
"navigateToUrl(""https://www.netflix.com/id/login"")",Chrome 120.0.0.0,,,03-01-2024 00:54:03,03-01-2024 00:54:07,3.676s,PASSED
"click(findTestObject(""Object Repository/Login/1 email""))",Chrome 120.0.0.0,,,03-01-2024 00:54:07,03-01-2024 00:54:07,0.500s,PASSED
"setText(findTestObject(""Object Repository/Login/2 user id""), email)",Chrome 120.0.0.0,,,03-01-2024 00:54:07,03-01-2024 00:54:08,0.951s,PASSED
"setText(findTestObject(""Object Repository/Login/3 password""), password)",Chrome 120.0.0.0,,,03-01-2024 00:54:08,03-01-2024 00:54:09,0.977s,PASSED
"click(findTestObject(""Object Repository/Login/4 sign in""))",Chrome 120.0.0.0,,,03-01-2024 00:54:09,03-01-2024 00:54:10,0.504s,PASSED
delay(2),Chrome 120.0.0.0,,,03-01-2024 00:54:10,03-01-2024 00:54:12,2.005s,PASSED
"navigateToUrl(""https://www.netflix.com/profiles/manage"")",Chrome 120.0.0.0,,,03-01-2024 00:54:12,03-01-2024 00:54:14,2.048s,PASSED
