Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Full Reset v2.0,Chrome 120.0.0.0,,,03-01-2024 17:09:21,03-01-2024 17:59:06,49m - 44.749s,FAILED
,,,,,,,
Test Cases/TC Full Reset v2.0,Chrome 120.0.0.0,,,03-01-2024 17:09:22,03-01-2024 17:13:49,4m - 26.963s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,03-01-2024 17:09:23,03-01-2024 17:09:26,2.778s,PASSED
"navigateToUrl(""https://www.netflix.com/id/login"")",Chrome 120.0.0.0,,,03-01-2024 17:09:26,03-01-2024 17:09:30,4.252s,PASSED
"click(findTestObject(""Object Repository/Login/1 email""))",Chrome 120.0.0.0,,,03-01-2024 17:09:30,03-01-2024 17:09:31,1.073s,PASSED
"setText(findTestObject(""Object Repository/Login/2 user id""), email)",Chrome 120.0.0.0,,,03-01-2024 17:09:31,03-01-2024 17:09:32,1.065s,PASSED
"setText(findTestObject(""Object Repository/Login/3 password""), password)",Chrome 120.0.0.0,,,03-01-2024 17:09:32,03-01-2024 17:09:33,1.024s,PASSED
"click(findTestObject(""Object Repository/Login/4 sign in""))",Chrome 120.0.0.0,,,03-01-2024 17:09:33,03-01-2024 17:09:33,0.463s,PASSED
delay(2),Chrome 120.0.0.0,,,03-01-2024 17:09:33,03-01-2024 17:09:35,2.076s,PASSED
"navigateToUrl(""https://www.netflix.com/profiles/manage"")",Chrome 120.0.0.0,,,03-01-2024 17:09:35,03-01-2024 17:09:40,4.818s,PASSED
"click(findTestObject(""Profile/profile yang ingin dihapus 2""), STOP_ON_FAILURE)",Chrome 120.0.0.0,,,03-01-2024 17:09:40,03-01-2024 17:09:42,1.839s,PASSED
"click(findTestObject(""Profile/profile delete""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 17:09:42,03-01-2024 17:09:44,1.712s,PASSED
"click(findTestObject(""Profile/profile delete confirm""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 17:09:44,03-01-2024 17:09:44,0.606s,PASSED
"click(findTestObject(""Profile/GagalHapus/simpan profile""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 17:09:44,03-01-2024 17:09:47,2.317s,PASSED
"click(findTestObject(""Profile/GagalHapus/batal""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 17:09:47,03-01-2024 17:09:49,2.292s,PASSED
"click(findTestObject(""Profile/profile yang ingin dihapus 3""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 17:09:49,03-01-2024 17:09:51,2.383s,PASSED
"click(findTestObject(""Profile/profile delete""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 17:09:51,03-01-2024 17:09:54,2.299s,PASSED
"click(findTestObject(""Profile/profile delete confirm""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 17:09:54,03-01-2024 17:09:56,2.431s,PASSED
"click(findTestObject(""Profile/GagalHapus/simpan profile""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 17:09:56,03-01-2024 17:09:59,2.509s,PASSED
"click(findTestObject(""Profile/GagalHapus/batal""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 17:09:59,03-01-2024 17:10:01,2.392s,PASSED
"click(findTestObject(""Profile/profile yang ingin dihapus 4""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 17:10:01,03-01-2024 17:10:03,2.265s,PASSED
"click(findTestObject(""Profile/profile delete""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 17:10:03,03-01-2024 17:10:06,2.232s,PASSED
"click(findTestObject(""Profile/profile delete confirm""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 17:10:06,03-01-2024 17:10:08,2.395s,PASSED
"click(findTestObject(""Profile/GagalHapus/simpan profile""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 17:10:08,03-01-2024 17:10:10,2.346s,PASSED
"click(findTestObject(""Profile/GagalHapus/batal""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 17:10:10,03-01-2024 17:10:13,2.298s,PASSED
"click(findTestObject(""Profile/profile yang ingin dihapus 5""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 17:10:13,03-01-2024 17:10:15,2.558s,PASSED
"click(findTestObject(""Profile/profile delete""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 17:10:15,03-01-2024 17:10:17,2.267s,PASSED
"click(findTestObject(""Profile/profile delete confirm""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 17:10:17,03-01-2024 17:10:20,2.290s,PASSED
"click(findTestObject(""Profile/GagalHapus/simpan profile""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 17:10:20,03-01-2024 17:10:22,2.489s,PASSED
"click(findTestObject(""Profile/GagalHapus/batal""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 17:10:22,03-01-2024 17:10:25,2.457s,PASSED
"navigateToUrl(""https://www.netflix.com/profiles/manage"", OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 17:10:25,03-01-2024 17:10:26,1.359s,PASSED
"click(findTestObject(""Profile/profile edit name 1""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 17:10:26,03-01-2024 17:10:28,1.648s,PASSED
"clearText(findTestObject(""Profile/profile edit name text""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 17:10:28,03-01-2024 17:10:29,1.172s,PASSED
"setText(findTestObject(""Profile/profile edit name text""), ""PROFILE 1"", OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 17:10:29,03-01-2024 17:10:30,1.402s,PASSED
"click(findTestObject(""Profile/language change""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 17:10:30,03-01-2024 17:10:31,0.791s,PASSED
"click(findTestObject(""Profile/language indonesia""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 17:10:31,03-01-2024 17:10:32,0.561s,PASSED
"click(findTestObject(""Profile/profile edit name save""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 17:10:32,03-01-2024 17:10:32,0.617s,PASSED
"click(findTestObject(""Profile/profile edit name 2""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 17:10:32,03-01-2024 17:10:35,2.303s,PASSED
"clearText(findTestObject(""Profile/profile edit name text""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 17:10:35,03-01-2024 17:10:37,2.389s,PASSED
"setText(findTestObject(""Profile/profile edit name text""), ""x2"", OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 17:10:37,03-01-2024 17:10:39,2.454s,PASSED
"click(findTestObject(""Profile/language change""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 17:10:39,03-01-2024 17:10:42,2.370s,PASSED
"click(findTestObject(""Profile/language indonesia""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 17:10:42,03-01-2024 17:10:44,2.300s,PASSED
"click(findTestObject(""Profile/profile edit name save""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 17:10:44,03-01-2024 17:10:46,2.386s,PASSED
"click(findTestObject(""Profile/profile edit name 3""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 17:10:46,03-01-2024 17:10:49,2.334s,PASSED
"clearText(findTestObject(""Profile/profile edit name text""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 17:10:49,03-01-2024 17:10:51,2.345s,PASSED
"setText(findTestObject(""Profile/profile edit name text""), ""x3"", OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 17:10:51,03-01-2024 17:10:54,2.517s,PASSED
"click(findTestObject(""Profile/language change""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 17:10:54,03-01-2024 17:10:56,2.740s,PASSED
"click(findTestObject(""Profile/language indonesia""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 17:10:56,03-01-2024 17:10:59,2.184s,PASSED
"click(findTestObject(""Profile/profile edit name save""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 17:10:59,03-01-2024 17:11:01,2.177s,PASSED
"click(findTestObject(""Profile/profile edit name 4""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 17:11:01,03-01-2024 17:11:03,2.387s,PASSED
"clearText(findTestObject(""Profile/profile edit name text""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 17:11:03,03-01-2024 17:11:05,2.260s,PASSED
"setText(findTestObject(""Profile/profile edit name text""), ""x4"", OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 17:11:05,03-01-2024 17:11:08,2.256s,PASSED
