Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Full Reset v2.0,Chrome 120.0.0.0,,,02-01-2024 20:54:09,02-01-2024 20:54:23,14.515s,FAILED
,,,,,,,
Test Cases/TC Full Reset v2.0,Chrome 120.0.0.0,,,02-01-2024 20:54:09,02-01-2024 20:54:23,13.989s,FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,02-01-2024 20:54:10,02-01-2024 20:54:13,2.296s,PASSED
"navigateToUrl(""https://www.netflix.com/id/login"")",Chrome 120.0.0.0,,,02-01-2024 20:54:13,02-01-2024 20:54:23,10.773s,FAILED
