Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Full Reset v2.0,Chrome 120.0.0.0,,,03-01-2024 01:36:54,03-01-2024 01:37:11,17.218s,FAILED
,,,,,,,
Test Cases/TC Full Reset v2.0,Chrome 120.0.0.0,,,03-01-2024 01:36:54,03-01-2024 01:37:11,16.866s,FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,03-01-2024 01:36:55,03-01-2024 01:36:57,2.328s,PASSED
"navigateToUrl(""https://www.netflix.com/id/login"")",Chrome 120.0.0.0,,,03-01-2024 01:36:57,03-01-2024 01:37:01,4.031s,PASSED
"click(findTestObject(""Object Repository/Login/1 email""))",Chrome 120.0.0.0,,,03-01-2024 01:37:01,03-01-2024 01:37:02,0.499s,PASSED
"setText(findTestObject(""Object Repository/Login/2 user id""), email)",Chrome 120.0.0.0,,,03-01-2024 01:37:02,03-01-2024 01:37:03,0.830s,PASSED
"setText(findTestObject(""Object Repository/Login/3 password""), password)",Chrome 120.0.0.0,,,03-01-2024 01:37:03,03-01-2024 01:37:04,0.973s,PASSED
"click(findTestObject(""Object Repository/Login/4 sign in""))",Chrome 120.0.0.0,,,03-01-2024 01:37:04,03-01-2024 01:37:04,0.367s,PASSED
delay(2),Chrome 120.0.0.0,,,03-01-2024 01:37:04,03-01-2024 01:37:06,2.074s,PASSED
"navigateToUrl(""https://www.netflix.com/profiles/manage"")",Chrome 120.0.0.0,,,03-01-2024 01:37:06,03-01-2024 01:37:08,2.028s,PASSED
"click(findTestObject(""Profile/profile yang ingin dihapus 2""), STOP_ON_FAILURE)",Chrome 120.0.0.0,,,03-01-2024 01:37:08,03-01-2024 01:37:11,2.787s,FAILED
