Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Full Reset v2.0,Chrome 120.0.0.0,,,03-01-2024 16:57:45,03-01-2024 17:19:12,21m - 26.973s,FAILED
,,,,,,,
Test Cases/TC Full Reset v2.0,Chrome 120.0.0.0,,,03-01-2024 16:57:46,03-01-2024 17:01:53,4m - 7.783s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,03-01-2024 16:57:47,03-01-2024 16:57:50,2.705s,PASSED
"navigateToUrl(""https://www.netflix.com/id/login"")",Chrome 120.0.0.0,,,03-01-2024 16:57:50,03-01-2024 16:57:53,3.343s,PASSED
"click(findTestObject(""Object Repository/Login/1 email""))",Chrome 120.0.0.0,,,03-01-2024 16:57:53,03-01-2024 16:57:53,0.568s,PASSED
"setText(findTestObject(""Object Repository/Login/2 user id""), email)",Chrome 120.0.0.0,,,03-01-2024 16:57:53,03-01-2024 16:57:54,0.808s,PASSED
"setText(findTestObject(""Object Repository/Login/3 password""), password)",Chrome 120.0.0.0,,,03-01-2024 16:57:54,03-01-2024 16:57:55,0.840s,PASSED
"click(findTestObject(""Object Repository/Login/4 sign in""))",Chrome 120.0.0.0,,,03-01-2024 16:57:55,03-01-2024 16:57:56,0.434s,PASSED
delay(2),Chrome 120.0.0.0,,,03-01-2024 16:57:56,03-01-2024 16:57:58,2.081s,PASSED
"navigateToUrl(""https://www.netflix.com/profiles/manage"")",Chrome 120.0.0.0,,,03-01-2024 16:57:58,03-01-2024 16:58:00,2.277s,PASSED
"click(findTestObject(""Profile/profile yang ingin dihapus 2""), STOP_ON_FAILURE)",Chrome 120.0.0.0,,,03-01-2024 16:58:00,03-01-2024 16:58:02,1.844s,PASSED
"click(findTestObject(""Profile/profile delete""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 16:58:02,03-01-2024 16:58:03,1.212s,PASSED
"click(findTestObject(""Profile/profile delete confirm""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 16:58:03,03-01-2024 16:58:03,0.479s,PASSED
"click(findTestObject(""Profile/GagalHapus/simpan profile""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 16:58:03,03-01-2024 16:58:06,2.225s,PASSED
"click(findTestObject(""Profile/GagalHapus/batal""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 16:58:06,03-01-2024 16:58:08,2.301s,PASSED
"click(findTestObject(""Profile/profile yang ingin dihapus 3""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 16:58:08,03-01-2024 16:58:10,2.240s,PASSED
"click(findTestObject(""Profile/profile delete""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 16:58:10,03-01-2024 16:58:12,2.221s,PASSED
"click(findTestObject(""Profile/profile delete confirm""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 16:58:12,03-01-2024 16:58:15,2.211s,PASSED
