Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Full Reset v2.0,Chrome 120.0.0.0,,,02-01-2024 20:46:47,02-01-2024 20:46:59,12.313s,FAILED
,,,,,,,
Test Cases/TC Full Reset v2.0,Chrome 120.0.0.0,,,02-01-2024 20:46:47,02-01-2024 20:46:51,3.604s,FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,02-01-2024 20:46:48,02-01-2024 20:46:50,2.338s,PASSED
"navigateToUrl(""https://www.netflix.com/id/login"")",Chrome 120.0.0.0,,,02-01-2024 20:46:50,02-01-2024 20:46:51,0.454s,FAILED
,,,,,,,
Test Cases/TC Full Reset v2.0,Chrome 120.0.0.0,,,02-01-2024 20:46:51,02-01-2024 20:46:53,1.875s,FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,02-01-2024 20:46:51,02-01-2024 20:46:52,1.210s,PASSED
"navigateToUrl(""https://www.netflix.com/id/login"")",Chrome 120.0.0.0,,,02-01-2024 20:46:52,02-01-2024 20:46:53,0.493s,FAILED
,,,,,,,
Test Cases/TC Full Reset v2.0,Chrome 120.0.0.0,,,02-01-2024 20:46:53,02-01-2024 20:46:55,2.011s,FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,02-01-2024 20:46:53,02-01-2024 20:46:54,1.396s,PASSED
"navigateToUrl(""https://www.netflix.com/id/login"")",Chrome 120.0.0.0,,,02-01-2024 20:46:54,02-01-2024 20:46:55,0.526s,FAILED
,,,,,,,
Test Cases/TC Full Reset v2.0,Chrome 120.0.0.0,,,02-01-2024 20:46:55,02-01-2024 20:46:57,2.397s,FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,02-01-2024 20:46:55,02-01-2024 20:46:57,1.733s,PASSED
"navigateToUrl(""https://www.netflix.com/id/login"")",Chrome 120.0.0.0,,,02-01-2024 20:46:57,02-01-2024 20:46:57,0.536s,FAILED
,,,,,,,
Test Cases/TC Full Reset v2.0,Chrome 120.0.0.0,,,02-01-2024 20:46:57,02-01-2024 20:46:59,1.756s,FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,02-01-2024 20:46:57,02-01-2024 20:46:58,1.201s,PASSED
"navigateToUrl(""https://www.netflix.com/id/login"")",Chrome 120.0.0.0,,,02-01-2024 20:46:58,02-01-2024 20:46:59,0.491s,FAILED
