Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Full Reset v2.0,Chrome 120.0.0.0,,,03-01-2024 19:52:54,03-01-2024 20:32:48,39m - 54.474s,FAILED
,,,,,,,
Test Cases/TC Full Reset v2.0,Chrome 120.0.0.0,,,03-01-2024 19:52:54,03-01-2024 19:53:36,41.546s,FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,03-01-2024 19:52:55,03-01-2024 19:52:58,2.465s,PASSED
"navigateToUrl(""https://www.netflix.com/clearcookies"")",Chrome 120.0.0.0,,,03-01-2024 19:52:58,03-01-2024 19:53:01,2.981s,PASSED
"navigateToUrl(""https://www.netflix.com/id/login"")",Chrome 120.0.0.0,,,03-01-2024 19:53:01,03-01-2024 19:53:06,5.800s,PASSED
"click(findTestObject(""Object Repository/Login/1 email""))",Chrome 120.0.0.0,,,03-01-2024 19:53:06,03-01-2024 19:53:07,0.532s,PASSED
"setText(findTestObject(""Object Repository/Login/2 user id""), email)",Chrome 120.0.0.0,,,03-01-2024 19:53:07,03-01-2024 19:53:08,0.872s,PASSED
"setText(findTestObject(""Object Repository/Login/3 password""), password)",Chrome 120.0.0.0,,,03-01-2024 19:53:08,03-01-2024 19:53:09,0.970s,PASSED
"click(findTestObject(""Object Repository/Login/4 sign in""))",Chrome 120.0.0.0,,,03-01-2024 19:53:09,03-01-2024 19:53:09,0.389s,PASSED
delay(10),Chrome 120.0.0.0,,,03-01-2024 19:53:09,03-01-2024 19:53:19,10.049s,PASSED
"navigateToUrl(""https://www.netflix.com/profiles/manage"")",Chrome 120.0.0.0,,,03-01-2024 19:53:19,03-01-2024 19:53:24,4.812s,PASSED
"click(findTestObject(""Profile/profile yang ingin dihapus 2""), STOP_ON_FAILURE)",Chrome 120.0.0.0,,,03-01-2024 19:53:24,03-01-2024 19:53:36,11.757s,FAILED
,,,,,,,
Test Cases/TC Full Reset v2.0,Chrome 120.0.0.0,,,03-01-2024 19:53:36,03-01-2024 19:54:17,41.426s,FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,03-01-2024 19:53:36,03-01-2024 19:53:37,1.294s,PASSED
"navigateToUrl(""https://www.netflix.com/clearcookies"")",Chrome 120.0.0.0,,,03-01-2024 19:53:37,03-01-2024 19:53:41,3.677s,PASSED
"navigateToUrl(""https://www.netflix.com/id/login"")",Chrome 120.0.0.0,,,03-01-2024 19:53:41,03-01-2024 19:53:48,7.119s,PASSED
"click(findTestObject(""Object Repository/Login/1 email""))",Chrome 120.0.0.0,,,03-01-2024 19:53:48,03-01-2024 19:53:48,0.378s,PASSED
"setText(findTestObject(""Object Repository/Login/2 user id""), email)",Chrome 120.0.0.0,,,03-01-2024 19:53:48,03-01-2024 19:53:49,0.798s,PASSED
"setText(findTestObject(""Object Repository/Login/3 password""), password)",Chrome 120.0.0.0,,,03-01-2024 19:53:49,03-01-2024 19:53:50,0.941s,PASSED
"click(findTestObject(""Object Repository/Login/4 sign in""))",Chrome 120.0.0.0,,,03-01-2024 19:53:50,03-01-2024 19:53:51,0.396s,PASSED
delay(10),Chrome 120.0.0.0,,,03-01-2024 19:53:51,03-01-2024 19:54:01,10.004s,PASSED
"navigateToUrl(""https://www.netflix.com/profiles/manage"")",Chrome 120.0.0.0,,,03-01-2024 19:54:01,03-01-2024 19:54:06,5.134s,PASSED
"click(findTestObject(""Profile/profile yang ingin dihapus 2""), STOP_ON_FAILURE)",Chrome 120.0.0.0,,,03-01-2024 19:54:06,03-01-2024 19:54:17,11.533s,FAILED
,,,,,,,
Test Cases/TC Full Reset v2.0,Chrome 120.0.0.0,,,03-01-2024 19:54:17,03-01-2024 20:06:34,12m - 16.329s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,03-01-2024 19:54:17,03-01-2024 19:54:19,1.338s,PASSED
"navigateToUrl(""https://www.netflix.com/clearcookies"")",Chrome 120.0.0.0,,,03-01-2024 19:54:19,03-01-2024 19:54:24,5.059s,PASSED
"navigateToUrl(""https://www.netflix.com/id/login"")",Chrome 120.0.0.0,,,03-01-2024 19:54:24,03-01-2024 19:54:28,3.787s,PASSED
"click(findTestObject(""Object Repository/Login/1 email""))",Chrome 120.0.0.0,,,03-01-2024 19:54:28,03-01-2024 19:54:28,0.385s,PASSED
"setText(findTestObject(""Object Repository/Login/2 user id""), email)",Chrome 120.0.0.0,,,03-01-2024 19:54:28,03-01-2024 19:54:29,0.733s,PASSED
"setText(findTestObject(""Object Repository/Login/3 password""), password)",Chrome 120.0.0.0,,,03-01-2024 19:54:29,03-01-2024 19:54:30,0.918s,PASSED
"click(findTestObject(""Object Repository/Login/4 sign in""))",Chrome 120.0.0.0,,,03-01-2024 19:54:30,03-01-2024 19:54:30,0.374s,PASSED
delay(10),Chrome 120.0.0.0,,,03-01-2024 19:54:30,03-01-2024 19:54:40,10.009s,PASSED
"navigateToUrl(""https://www.netflix.com/profiles/manage"")",Chrome 120.0.0.0,,,03-01-2024 19:54:40,03-01-2024 19:54:42,1.974s,PASSED
"click(findTestObject(""Profile/profile yang ingin dihapus 2""), STOP_ON_FAILURE)",Chrome 120.0.0.0,,,03-01-2024 19:54:42,03-01-2024 19:54:44,1.952s,PASSED
"click(findTestObject(""Profile/profile delete""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 19:54:44,03-01-2024 19:54:45,1.291s,PASSED
"click(findTestObject(""Profile/profile delete confirm""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 19:54:45,03-01-2024 19:54:46,0.571s,PASSED
"click(findTestObject(""Profile/GagalHapus/simpan profile""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 19:54:46,03-01-2024 19:54:57,11.301s,PASSED
"click(findTestObject(""Profile/GagalHapus/batal""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 19:54:57,03-01-2024 19:55:08,11.173s,PASSED
"click(findTestObject(""Profile/profile yang ingin dihapus 3""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 19:55:08,03-01-2024 19:55:20,11.375s,PASSED
"click(findTestObject(""Profile/profile delete""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 19:55:20,03-01-2024 19:55:31,11.313s,PASSED
"click(findTestObject(""Profile/profile delete confirm""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 19:55:31,03-01-2024 19:55:42,11.287s,PASSED
"click(findTestObject(""Profile/GagalHapus/simpan profile""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 19:55:42,03-01-2024 19:55:54,11.280s,PASSED
"click(findTestObject(""Profile/GagalHapus/batal""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 19:55:54,03-01-2024 19:56:05,11.170s,PASSED
"click(findTestObject(""Profile/profile yang ingin dihapus 4""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 19:56:05,03-01-2024 19:56:16,11.194s,PASSED
"click(findTestObject(""Profile/profile delete""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 19:56:16,03-01-2024 19:56:27,11.279s,PASSED
"click(findTestObject(""Profile/profile delete confirm""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 19:56:27,03-01-2024 19:56:39,11.403s,PASSED
"click(findTestObject(""Profile/GagalHapus/simpan profile""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 19:56:39,03-01-2024 19:56:50,11.167s,PASSED
"click(findTestObject(""Profile/GagalHapus/batal""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 19:56:50,03-01-2024 19:57:01,11.249s,PASSED
"click(findTestObject(""Profile/profile yang ingin dihapus 5""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 19:57:01,03-01-2024 19:57:12,11.385s,PASSED
"click(findTestObject(""Profile/profile delete""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 19:57:12,03-01-2024 19:57:24,11.204s,PASSED
"click(findTestObject(""Profile/profile delete confirm""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 19:57:24,03-01-2024 19:57:35,11.198s,PASSED
"click(findTestObject(""Profile/GagalHapus/simpan profile""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 19:57:35,03-01-2024 19:57:46,11.237s,PASSED
"click(findTestObject(""Profile/GagalHapus/batal""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 19:57:46,03-01-2024 19:57:57,11.231s,PASSED
"navigateToUrl(""https://www.netflix.com/profiles/manage"", OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 19:57:57,03-01-2024 19:58:01,3.724s,PASSED
"click(findTestObject(""Profile/profile edit name 1""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 19:58:01,03-01-2024 19:58:02,0.664s,PASSED
"clearText(findTestObject(""Profile/profile edit name text""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 19:58:02,03-01-2024 19:58:04,2.382s,PASSED
"setText(findTestObject(""Profile/profile edit name text""), ""PROFILE 1"", OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 19:58:04,03-01-2024 19:58:05,0.827s,PASSED
"click(findTestObject(""Profile/language change""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 19:58:05,03-01-2024 19:58:05,0.523s,PASSED
"click(findTestObject(""Profile/language indonesia""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 19:58:05,03-01-2024 19:58:06,0.466s,PASSED
"click(findTestObject(""Profile/profile edit name save""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 19:58:06,03-01-2024 19:58:06,0.585s,PASSED
"click(findTestObject(""Profile/profile edit name 2""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 19:58:06,03-01-2024 19:58:18,11.281s,PASSED
"clearText(findTestObject(""Profile/profile edit name text""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 19:58:18,03-01-2024 19:58:29,11.210s,PASSED
"setText(findTestObject(""Profile/profile edit name text""), ""x2"", OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 19:58:29,03-01-2024 19:58:40,11.272s,PASSED
"click(findTestObject(""Profile/language change""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 19:58:40,03-01-2024 19:58:51,11.146s,PASSED
"click(findTestObject(""Profile/language indonesia""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 19:58:51,03-01-2024 19:59:03,11.390s,PASSED
"click(findTestObject(""Profile/profile edit name save""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 19:59:03,03-01-2024 19:59:14,11.375s,PASSED
"click(findTestObject(""Profile/profile edit name 3""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 19:59:14,03-01-2024 19:59:25,11.224s,PASSED
"clearText(findTestObject(""Profile/profile edit name text""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 19:59:25,03-01-2024 19:59:37,11.200s,PASSED
"setText(findTestObject(""Profile/profile edit name text""), ""x3"", OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 19:59:37,03-01-2024 19:59:48,11.150s,PASSED
"click(findTestObject(""Profile/language change""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 19:59:48,03-01-2024 19:59:59,11.150s,PASSED
"click(findTestObject(""Profile/language indonesia""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 19:59:59,03-01-2024 20:00:10,11.294s,PASSED
"click(findTestObject(""Profile/profile edit name save""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 20:00:10,03-01-2024 20:00:22,11.431s,PASSED
"click(findTestObject(""Profile/profile edit name 4""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 20:00:22,03-01-2024 20:00:33,11.171s,PASSED
"clearText(findTestObject(""Profile/profile edit name text""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 20:00:33,03-01-2024 20:00:44,11.355s,PASSED
"setText(findTestObject(""Profile/profile edit name text""), ""x4"", OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 20:00:44,03-01-2024 20:00:55,11.208s,PASSED
"click(findTestObject(""Profile/language change""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 20:00:55,03-01-2024 20:01:07,11.331s,PASSED
"click(findTestObject(""Profile/language indonesia""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 20:01:07,03-01-2024 20:01:18,11.161s,PASSED
"click(findTestObject(""Profile/profile edit name save""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 20:01:18,03-01-2024 20:01:29,11.166s,PASSED
"click(findTestObject(""Profile/profile edit name 5""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 20:01:29,03-01-2024 20:01:40,11.146s,PASSED
"clearText(findTestObject(""Profile/profile edit name text""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 20:01:40,03-01-2024 20:01:51,11.133s,PASSED
"setText(findTestObject(""Profile/profile edit name text""), ""x5"", OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 20:01:51,03-01-2024 20:02:03,11.371s,PASSED
"click(findTestObject(""Profile/language change""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 20:02:03,03-01-2024 20:02:14,11.182s,PASSED
"click(findTestObject(""Profile/language indonesia""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 20:02:14,03-01-2024 20:02:25,11.393s,PASSED
"click(findTestObject(""Profile/profile edit name save""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 20:02:25,03-01-2024 20:02:36,11.158s,PASSED
"click(findTestObject(""Profile/profile add 2""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 20:02:36,03-01-2024 20:02:37,0.402s,PASSED
