Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Full Reset v2.0,Chrome 120.0.0.0,,,03-01-2024 18:20:55,03-01-2024 18:29:33,8m - 37.313s,FAILED
,,,,,,,
Test Cases/TC Full Reset v2.0,Chrome 120.0.0.0,,,03-01-2024 18:20:56,03-01-2024 18:21:21,25.323s,FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,03-01-2024 18:20:57,03-01-2024 18:21:00,3.131s,PASSED
"navigateToUrl(""https://www.netflix.com/clearcookies"")",Chrome 120.0.0.0,,,03-01-2024 18:21:00,03-01-2024 18:21:02,1.794s,PASSED
"navigateToUrl(""https://www.netflix.com/id/login"")",Chrome 120.0.0.0,,,03-01-2024 18:21:02,03-01-2024 18:21:06,4.649s,PASSED
"click(findTestObject(""Object Repository/Login/1 email""))",Chrome 120.0.0.0,,,03-01-2024 18:21:06,03-01-2024 18:21:07,0.732s,PASSED
"setText(findTestObject(""Object Repository/Login/2 user id""), email)",Chrome 120.0.0.0,,,03-01-2024 18:21:07,03-01-2024 18:21:08,0.835s,PASSED
"setText(findTestObject(""Object Repository/Login/3 password""), password)",Chrome 120.0.0.0,,,03-01-2024 18:21:08,03-01-2024 18:21:09,0.929s,PASSED
"click(findTestObject(""Object Repository/Login/4 sign in""))",Chrome 120.0.0.0,,,03-01-2024 18:21:09,03-01-2024 18:21:09,0.375s,PASSED
delay(2),Chrome 120.0.0.0,,,03-01-2024 18:21:09,03-01-2024 18:21:11,2.051s,PASSED
"navigateToUrl(""https://www.netflix.com/profiles/manage"")",Chrome 120.0.0.0,,,03-01-2024 18:21:11,03-01-2024 18:21:14,3.149s,PASSED
"click(findTestObject(""Profile/profile yang ingin dihapus 2""), STOP_ON_FAILURE)",Chrome 120.0.0.0,,,03-01-2024 18:21:14,03-01-2024 18:21:21,6.684s,FAILED
,,,,,,,
Test Cases/TC Full Reset v2.0,Chrome 120.0.0.0,,,03-01-2024 18:21:21,03-01-2024 18:29:08,7m - 47.235s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,03-01-2024 18:21:21,03-01-2024 18:21:23,1.396s,PASSED
"navigateToUrl(""https://www.netflix.com/clearcookies"")",Chrome 120.0.0.0,,,03-01-2024 18:21:23,03-01-2024 18:21:27,3.836s,PASSED
"navigateToUrl(""https://www.netflix.com/id/login"")",Chrome 120.0.0.0,,,03-01-2024 18:21:27,03-01-2024 18:21:31,4.263s,PASSED
"click(findTestObject(""Object Repository/Login/1 email""))",Chrome 120.0.0.0,,,03-01-2024 18:21:31,03-01-2024 18:21:31,0.432s,PASSED
"setText(findTestObject(""Object Repository/Login/2 user id""), email)",Chrome 120.0.0.0,,,03-01-2024 18:21:31,03-01-2024 18:21:32,0.781s,PASSED
"setText(findTestObject(""Object Repository/Login/3 password""), password)",Chrome 120.0.0.0,,,03-01-2024 18:21:32,03-01-2024 18:21:33,0.916s,PASSED
"click(findTestObject(""Object Repository/Login/4 sign in""))",Chrome 120.0.0.0,,,03-01-2024 18:21:33,03-01-2024 18:21:33,0.389s,PASSED
delay(2),Chrome 120.0.0.0,,,03-01-2024 18:21:33,03-01-2024 18:21:35,2.014s,PASSED
"navigateToUrl(""https://www.netflix.com/profiles/manage"")",Chrome 120.0.0.0,,,03-01-2024 18:21:35,03-01-2024 18:21:42,6.567s,PASSED
"click(findTestObject(""Profile/profile yang ingin dihapus 2""), STOP_ON_FAILURE)",Chrome 120.0.0.0,,,03-01-2024 18:21:42,03-01-2024 18:21:43,0.931s,PASSED
"click(findTestObject(""Profile/profile delete""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 18:21:43,03-01-2024 18:21:44,1.107s,PASSED
"click(findTestObject(""Profile/profile delete confirm""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 18:21:44,03-01-2024 18:21:45,0.703s,PASSED
"click(findTestObject(""Profile/GagalHapus/simpan profile""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 18:21:45,03-01-2024 18:21:51,6.270s,PASSED
"click(findTestObject(""Profile/GagalHapus/batal""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 18:21:51,03-01-2024 18:21:57,6.224s,PASSED
