Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Full Reset v2.0,,,,2024-01-03 16:20:45,2024-01-03 16:21:02,16.766s,FAILED
,,,,,,,
Test Cases/TC Full Reset v2.0,,,,2024-01-03 16:20:46,2024-01-03 16:20:51,5.908s,FAILED
"openBrowser("""")",,,,2024-01-03 16:20:47,2024-01-03 16:20:51,4.801s,FAILED
,,,,,,,
Test Cases/TC Full Reset v2.0,,,,2024-01-03 16:20:52,2024-01-03 16:20:53,1.696s,FAILED
"openBrowser("""")",,,,2024-01-03 16:20:52,2024-01-03 16:20:53,1.617s,FAILED
,,,,,,,
Test Cases/TC Full Reset v2.0,,,,2024-01-03 16:20:54,2024-01-03 16:20:55,1.626s,FAILED
"openBrowser("""")",,,,2024-01-03 16:20:54,2024-01-03 16:20:55,1.533s,FAILED
,,,,,,,
Test Cases/TC Full Reset v2.0,,,,2024-01-03 16:20:55,2024-01-03 16:20:57,1.813s,FAILED
"openBrowser("""")",,,,2024-01-03 16:20:55,2024-01-03 16:20:57,1.785s,FAILED
,,,,,,,
Test Cases/TC Full Reset v2.0,,,,2024-01-03 16:20:57,2024-01-03 16:20:58,1.364s,FAILED
"openBrowser("""")",,,,2024-01-03 16:20:57,2024-01-03 16:20:58,1.335s,FAILED
,,,,,,,
Test Cases/TC Full Reset v2.0,,,,2024-01-03 16:20:58,2024-01-03 16:21:00,1.426s,FAILED
"openBrowser("""")",,,,2024-01-03 16:20:59,2024-01-03 16:21:00,1.387s,FAILED
,,,,,,,
Test Cases/TC Full Reset v2.0,,,,2024-01-03 16:21:00,2024-01-03 16:21:02,1.741s,FAILED
"openBrowser("""")",,,,2024-01-03 16:21:00,2024-01-03 16:21:02,1.700s,FAILED
