Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Set Pin Only,Chrome 120.0.0.0,,,02-01-2024 12:12:33,02-01-2024 12:13:50,1m - 17.552s,PASSED
,,,,,,,
Test Cases/PinOnly,Chrome 120.0.0.0,,,02-01-2024 12:12:33,02-01-2024 12:13:50,1m - 17.238s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,02-01-2024 12:12:34,02-01-2024 12:12:36,2.117s,PASSED
"navigateToUrl(""https://www.netflix.com/id/login"")",Chrome 120.0.0.0,,,02-01-2024 12:12:36,02-01-2024 12:12:39,3.338s,PASSED
"click(findTestObject(""Object Repository/Login/1 email""))",Chrome 120.0.0.0,,,02-01-2024 12:12:39,02-01-2024 12:12:40,0.516s,PASSED
"setText(findTestObject(""Object Repository/Login/2 user id""), email)",Chrome 120.0.0.0,,,02-01-2024 12:12:40,02-01-2024 12:12:40,0.775s,PASSED
"setText(findTestObject(""Object Repository/Login/3 password""), password)",Chrome 120.0.0.0,,,02-01-2024 12:12:40,02-01-2024 12:12:41,0.811s,PASSED
"click(findTestObject(""Object Repository/Login/4 sign in""))",Chrome 120.0.0.0,,,02-01-2024 12:12:41,02-01-2024 12:12:42,0.390s,PASSED
delay(2),Chrome 120.0.0.0,,,02-01-2024 12:12:42,02-01-2024 12:12:44,2.056s,PASSED
"navigateToUrl(""https://www.netflix.com/YourAccount"")",Chrome 120.0.0.0,,,02-01-2024 12:12:44,02-01-2024 12:12:47,3.177s,PASSED
"click(findTestObject(""Pin/pin expand button 1""))",Chrome 120.0.0.0,,,02-01-2024 12:12:47,02-01-2024 12:12:47,0.642s,PASSED
"click(findTestObject(""Pin/pin change 1""))",Chrome 120.0.0.0,,,02-01-2024 12:12:47,02-01-2024 12:12:49,1.841s,PASSED
"setText(findTestObject(""Pin/pin input password""), password)",Chrome 120.0.0.0,,,02-01-2024 12:12:49,02-01-2024 12:12:50,0.904s,PASSED
"click(findTestObject(""Pin/pin input password continue""))",Chrome 120.0.0.0,,,02-01-2024 12:12:50,02-01-2024 12:12:51,0.453s,PASSED
