Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Full Reset,Chrome 120.0.0.0,,,02-01-2024 17:08:15,02-01-2024 17:10:34,2m - 19.404s,PASSED
,,,,,,,
Test Cases/TC Full Reset,Chrome 120.0.0.0,,,02-01-2024 17:08:15,02-01-2024 17:10:34,2m - 19.062s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,02-01-2024 17:08:16,02-01-2024 17:08:18,2.198s,PASSED
"navigateToUrl(""https://www.netflix.com/id/login"")",Chrome 120.0.0.0,,,02-01-2024 17:08:18,02-01-2024 17:08:21,3.112s,PASSED
"click(findTestObject(""Object Repository/Login/1 email""))",Chrome 120.0.0.0,,,02-01-2024 17:08:21,02-01-2024 17:08:22,0.482s,PASSED
"setText(findTestObject(""Object Repository/Login/2 user id""), email)",Chrome 120.0.0.0,,,02-01-2024 17:08:22,02-01-2024 17:08:23,0.769s,PASSED
"setText(findTestObject(""Object Repository/Login/3 password""), password)",Chrome 120.0.0.0,,,02-01-2024 17:08:23,02-01-2024 17:08:23,0.813s,PASSED
"click(findTestObject(""Object Repository/Login/4 sign in""))",Chrome 120.0.0.0,,,02-01-2024 17:08:23,02-01-2024 17:08:24,0.370s,PASSED
delay(2),Chrome 120.0.0.0,,,02-01-2024 17:08:24,02-01-2024 17:08:26,2.050s,PASSED
"navigateToUrl(""https://www.netflix.com/profiles/manage"")",Chrome 120.0.0.0,,,02-01-2024 17:08:26,02-01-2024 17:08:30,3.919s,PASSED
"click(findTestObject(""Profile/profile yang ingin dihapus""), OPTIONAL)",Chrome 120.0.0.0,,,02-01-2024 17:08:30,02-01-2024 17:08:33,3.310s,PASSED
"click(findTestObject(""Profile/profile delete""), OPTIONAL)",Chrome 120.0.0.0,,,02-01-2024 17:08:33,02-01-2024 17:08:36,3.200s,PASSED
"click(findTestObject(""Profile/profile delete confirm""), OPTIONAL)",Chrome 120.0.0.0,,,02-01-2024 17:08:36,02-01-2024 17:08:40,3.193s,PASSED
"click(findTestObject(""Profile/profile yang ingin dihapus""), OPTIONAL)",Chrome 120.0.0.0,,,02-01-2024 17:08:40,02-01-2024 17:08:43,3.385s,PASSED
"click(findTestObject(""Profile/profile delete""), OPTIONAL)",Chrome 120.0.0.0,,,02-01-2024 17:08:43,02-01-2024 17:08:46,3.135s,PASSED
"click(findTestObject(""Profile/profile delete confirm""), OPTIONAL)",Chrome 120.0.0.0,,,02-01-2024 17:08:46,02-01-2024 17:08:49,3.215s,PASSED
"click(findTestObject(""Profile/profile yang ingin dihapus""), OPTIONAL)",Chrome 120.0.0.0,,,02-01-2024 17:08:49,02-01-2024 17:08:52,3.251s,PASSED
"click(findTestObject(""Profile/profile delete""), OPTIONAL)",Chrome 120.0.0.0,,,02-01-2024 17:08:52,02-01-2024 17:08:56,3.346s,PASSED
"click(findTestObject(""Profile/profile delete confirm""), OPTIONAL)",Chrome 120.0.0.0,,,02-01-2024 17:08:56,02-01-2024 17:08:59,3.250s,PASSED
"click(findTestObject(""Profile/profile yang ingin dihapus""), OPTIONAL)",Chrome 120.0.0.0,,,02-01-2024 17:08:59,02-01-2024 17:09:02,3.205s,PASSED
"click(findTestObject(""Profile/profile delete""), OPTIONAL)",Chrome 120.0.0.0,,,02-01-2024 17:09:02,02-01-2024 17:09:06,3.414s,PASSED
"click(findTestObject(""Profile/profile delete confirm""), OPTIONAL)",Chrome 120.0.0.0,,,02-01-2024 17:09:06,02-01-2024 17:09:09,3.183s,PASSED
"navigateToUrl(""https://www.netflix.com/profiles/manage"", OPTIONAL)",Chrome 120.0.0.0,,,02-01-2024 17:09:09,02-01-2024 17:09:10,1.167s,PASSED
"click(findTestObject(""Profile/profile edit name 1""))",Chrome 120.0.0.0,,,02-01-2024 17:09:10,02-01-2024 17:09:11,0.712s,PASSED
"clearText(findTestObject(""Profile/profile edit name text""))",Chrome 120.0.0.0,,,02-01-2024 17:09:11,02-01-2024 17:09:12,1.192s,PASSED
"setText(findTestObject(""Profile/profile edit name text""), ""PROFILE 1"")",Chrome 120.0.0.0,,,02-01-2024 17:09:12,02-01-2024 17:09:13,0.774s,PASSED
"click(findTestObject(""Profile/language change""))",Chrome 120.0.0.0,,,02-01-2024 17:09:13,02-01-2024 17:09:13,0.489s,PASSED
"click(findTestObject(""Profile/language indonesia""))",Chrome 120.0.0.0,,,02-01-2024 17:09:13,02-01-2024 17:09:14,0.452s,PASSED
"click(findTestObject(""Profile/profile edit name save""))",Chrome 120.0.0.0,,,02-01-2024 17:09:14,02-01-2024 17:09:14,0.463s,PASSED
"click(findTestObject(""Profile/profile add 2""))",Chrome 120.0.0.0,,,02-01-2024 17:09:14,02-01-2024 17:09:16,1.406s,PASSED
"setText(findTestObject(""Profile/profile input name""), ""PROFILE 2"")",Chrome 120.0.0.0,,,02-01-2024 17:09:16,02-01-2024 17:09:17,1.498s,PASSED
"click(findTestObject(""Profile/profile input name continue""))",Chrome 120.0.0.0,,,02-01-2024 17:09:17,02-01-2024 17:09:17,0.336s,PASSED
"click(findTestObject(""Profile/profile add 3""))",Chrome 120.0.0.0,,,02-01-2024 17:09:17,02-01-2024 17:09:19,1.217s,PASSED
"setText(findTestObject(""Profile/profile input name""), ""PROFILE 3"")",Chrome 120.0.0.0,,,02-01-2024 17:09:19,02-01-2024 17:09:20,1.513s,PASSED
"click(findTestObject(""Profile/profile input name continue""))",Chrome 120.0.0.0,,,02-01-2024 17:09:20,02-01-2024 17:09:20,0.328s,PASSED
"click(findTestObject(""Profile/profile add 4""))",Chrome 120.0.0.0,,,02-01-2024 17:09:20,02-01-2024 17:09:22,1.541s,PASSED
"setText(findTestObject(""Profile/profile input name""), ""PROFILE 4"")",Chrome 120.0.0.0,,,02-01-2024 17:09:22,02-01-2024 17:09:23,1.494s,PASSED
"click(findTestObject(""Profile/profile input name continue""))",Chrome 120.0.0.0,,,02-01-2024 17:09:23,02-01-2024 17:09:24,0.549s,PASSED
