Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Full Reset v2.0,Chrome 120.0.0.0,,,03-01-2024 18:30:33,03-01-2024 18:53:50,23m - 17.002s,FAILED
,,,,,,,
Test Cases/TC Full Reset v2.0,Chrome 120.0.0.0,,,03-01-2024 18:30:34,03-01-2024 18:38:36,8m - 2.031s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,03-01-2024 18:30:35,03-01-2024 18:30:37,2.516s,PASSED
"navigateToUrl(""https://www.netflix.com/clearcookies"")",Chrome 120.0.0.0,,,03-01-2024 18:30:37,03-01-2024 18:30:43,5.265s,PASSED
"navigateToUrl(""https://www.netflix.com/id/login"")",Chrome 120.0.0.0,,,03-01-2024 18:30:43,03-01-2024 18:30:44,1.101s,PASSED
"click(findTestObject(""Object Repository/Login/1 email""))",Chrome 120.0.0.0,,,03-01-2024 18:30:44,03-01-2024 18:30:49,4.670s,PASSED
"setText(findTestObject(""Object Repository/Login/2 user id""), email)",Chrome 120.0.0.0,,,03-01-2024 18:30:49,03-01-2024 18:30:49,0.852s,PASSED
"setText(findTestObject(""Object Repository/Login/3 password""), password)",Chrome 120.0.0.0,,,03-01-2024 18:30:49,03-01-2024 18:30:50,0.985s,PASSED
"click(findTestObject(""Object Repository/Login/4 sign in""))",Chrome 120.0.0.0,,,03-01-2024 18:30:50,03-01-2024 18:30:51,0.381s,PASSED
delay(2),Chrome 120.0.0.0,,,03-01-2024 18:30:51,03-01-2024 18:30:53,2.065s,PASSED
"navigateToUrl(""https://www.netflix.com/profiles/manage"")",Chrome 120.0.0.0,,,03-01-2024 18:30:53,03-01-2024 18:31:01,7.842s,PASSED
"click(findTestObject(""Profile/profile yang ingin dihapus 2""), STOP_ON_FAILURE)",Chrome 120.0.0.0,,,03-01-2024 18:31:01,03-01-2024 18:31:02,0.906s,PASSED
"click(findTestObject(""Profile/profile delete""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 18:31:02,03-01-2024 18:31:03,1.428s,PASSED
"click(findTestObject(""Profile/profile delete confirm""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 18:31:03,03-01-2024 18:31:03,0.489s,PASSED
"click(findTestObject(""Profile/GagalHapus/simpan profile""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 18:31:03,03-01-2024 18:31:10,6.365s,PASSED
"click(findTestObject(""Profile/GagalHapus/batal""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 18:31:10,03-01-2024 18:31:16,6.263s,PASSED
"click(findTestObject(""Profile/profile yang ingin dihapus 3""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 18:31:16,03-01-2024 18:31:22,6.320s,PASSED
"click(findTestObject(""Profile/profile delete""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 18:31:22,03-01-2024 18:31:29,6.291s,PASSED
"click(findTestObject(""Profile/profile delete confirm""), OPTIONAL)",Chrome 120.0.0.0,,,03-01-2024 18:31:29,03-01-2024 18:31:35,6.307s,PASSED
